title,journal,source_x,publish_time,year,abstract_word_count
Repurposed Therapeutic Agents Targeting the Ebola Virus: A Systematic Review,Curr Ther Res Clin Exp,PMC,2017-02-02,2017.0,271
"A cell-based, quantitative and isoform-specific assay for exchange proteins directly activated by cAMP",Sci Rep,PMC,2017-07-24,2017.0,117
Human Zika infection induces a reduction of IFN-γ producing CD4 T-cells and a parallel expansion of effector Vδ2 T-cells,Sci Rep,PMC,2017-07-24,2017.0,178
"Replication of H9 influenza viruses in the human ex vivo respiratory tract, and the influence of neuraminidase on virus release",Sci Rep,PMC,2017-07-24,2017.0,202
"New hydrazonoindolin-2-ones: Synthesis, exploration of the possible anti-proliferative mechanism of action and encapsulation into PLGA microspheres",PLoS One,PMC,2017-07-25,2017.0,258
Sensitivity to BST-2 restriction correlates with Orthobunyavirus host range,Virology,PMC,2017-09-03,2017.0,149
Multimechanistic Monoclonal Antibodies (MAbs) Targeting Staphylococcus aureus Alpha-Toxin and Clumping Factor A: Activity and Efficacy Comparisons of a MAb Combination and an Engineered Bispecific Antibody Approach,Antimicrob Agents Chemother,PMC,2017-07-25,2017.0,236
Identification of one B-cell epitope from NS1 protein of duck Tembusu virus with monoclonal antibodies,PLoS One,PMC,2017-07-26,2017.0,183
Effects of oxidative and thermal stresses on stress granule formation in human induced pluripotent stem cells,PLoS One,PMC,2017-07-26,2017.0,192
The Case for Laboratory Developed Procedures: Quality and Positive Impact on Patient Care,Acad Pathol,PMC,2017-07-16,2017.0,165
Intravenous superoxide dismutase as a protective agent to prevent impairment of lung function induced by high tidal volume ventilation,BMC Pulm Med,PMC,2017-07-26,2017.0,418
Role of eculizumab in a pediatric refractory gemcitabine-induced thrombotic microangiopathy: a case report,J Med Case Rep,PMC,2017-07-27,2017.0,143
TRAF6 is a novel NS3-interacting protein that inhibits classical swine fever virus replication,Sci Rep,PMC,2017-07-27,2017.0,193
Multiple Sclerosis: Immunopathology and Treatment Update,Brain Sci,PMC,2017-07-07,2017.0,143
Metagenomic Sequencing of an Echovirus 30 Genome From Cerebrospinal Fluid of a Patient With Aseptic Meningitis and Orchitis,Open Forum Infect Dis,PMC,2017-07-28,2017.0,83
Alterations in Gene Expression of Components of the Renin-Angiotensin System and Its Related Enzymes in Lung Cancer,Lung Cancer Int,PMC,2017-07-16,2017.0,202
Telerehabilitation Solution Conceptual Paper for Community-Based Exercise Rehabilitation of Patients Discharged After Critical Illness,Int J Telerehabil,PMC,2016-12-15,2016.0,144
T2DiACoD: A Gene Atlas of Type 2 Diabetes Mellitus Associated Complex Disorders,Sci Rep,PMC,2017-07-31,2017.0,195
Developing international open science collaborations: Funder reflections on the Open Science Prize,PLoS Biol,PMC,2017-08-01,2017.0,76
Application of Epstein–Barr Virus for Optimization of Immortalized B-lymphocyte Production as a Positive Control in Genetic Studies,Adv Biomed Res,PMC,2017-07-14,2017.0,171
Characterization of Sudan Ebolavirus infection in ferrets,Oncotarget,PMC,2017-05-08,2017.0,122
Airway and parenchyma immune cells in influenza A(H1N1)pdm09 viral and non-viral diffuse alveolar damage,Respir Res,PMC,2017-08-03,2017.0,286
SH3GLB2/endophilin B2 regulates lung homeostasis and recovery from severe influenza A virus infection,Sci Rep,PMC,2017-08-04,2017.0,200
Polyethylenimine-based micro/nanoparticles as vaccine adjuvants,Int J Nanomedicine,PMC,2017-07-31,2017.0,135
The Utility of Preliminary Patient Evaluation in a Febrile Respiratory Infectious Disease Unit outside the Emergency Department,J Korean Med Sci,PMC,2017-07-03,2017.0,252
Ontology-Based Approach to Social Data Sentiment Analysis: Detection of Adolescent Depression Signals,J Med Internet Res,PMC,2017-07-24,2017.0,386
Cassiae semen: A review of its phytochemistry and pharmacology,Mol Med Rep,PMC,2017-06-29,2017.0,182
The H7N9 influenza A virus infection results in lethal inflammation in the mammalian host via the NLRP3-caspase-1 inflammasome,Sci Rep,PMC,2017-08-08,2017.0,196
Plasmonic silver nanoshells for drug and metabolite detection,Nat Commun,PMC,2017-08-09,2017.0,141
A Novel Strategy for Bitter Taste Masking of Gankeshuangqing Dispersible Tablets Based on Particle Coating Technology,Pharmacogn Mag,PMC,2017-07-19,2017.0,312
Social contact patterns relevant to the spread of respiratory infectious diseases in Hong Kong,Sci Rep,PMC,2017-08-11,2017.0,202
Effect of HA330 resin-directed hemoadsorption on a porcine acute respiratory distress syndrome model,Ann Intensive Care,PMC,2017-08-14,2017.0,229
Circulating microRNAs in malaria infection: bench to bedside,Malar J,PMC,2017-08-15,2017.0,148
Evolution and spread of Venezuelan equine encephalitis complex alphavirus in the Americas,PLoS Negl Trop Dis,PMC,2017-08-03,2017.0,197
Epistatic Interactions within the Influenza A Virus Polymerase Complex Mediate Mutagen Resistance and Replication Fidelity,mSphere,PMC,2017-08-16,2017.0,391
"Evaluation of control measures for bovine viral diarrhea implemented in Nemuro District, Hokkaido, Japan, using a scenario tree model",J Vet Med Sci,PMC,2017-05-25,2017.0,234
Type III Interferon-Mediated Signaling Is Critical for Controlling Live Attenuated Yellow Fever Virus Infection In Vivo,mBio,PMC,2017-08-15,2017.0,234
"Modified Vaccinia Virus Ankara Preferentially Targets Antigen Presenting Cells In Vitro, Ex Vivo and In Vivo",Sci Rep,PMC,2017-08-17,2017.0,150
Galangin suppresses human laryngeal carcinoma via modulation of caspase-3 and AKT signaling pathways,Oncol Rep,PMC,2017-06-29,2017.0,242
Purinergic signalling links mechanical breath profile and alveolar mechanics with the pro-inflammatory innate immune response causing ventilation-induced lung injury,Purinergic Signal,PMC,2017-05-26,2017.0,243
Kangfuxinye Enema Combined with Mesalamine for Ulcerative Colitis: A Systematic Review and GRADE Approach,Evid Based Complement Alternat Med,PMC,2017-08-07,2017.0,194
Phellodendron chinense Schneid: A novel yellow-emitting luminescent material for white light-emitting diodes,Sci Rep,PMC,2017-08-21,2017.0,165
Pulmonary inflammation and cytokine dynamics of bronchoalveolar lavage fluid from a mouse model of bronchial asthma during A(H1N1)pdm09 influenza infection,Sci Rep,PMC,2017-08-22,2017.0,200
The evolution of animal Argonautes: evidence for the absence of antiviral AGO Argonautes in vertebrates,Sci Rep,PMC,2017-08-23,2017.0,202
Host and viral traits predict zoonotic spillover from mammals,Nature,PMC,2017-06-21,2017.0,217
Methods for estimating disease transmission rates: Evaluating the precision of Poisson regression and two novel methods,Sci Rep,PMC,2017-08-25,2017.0,178
"Ethical, legal and societal considerations on Zika virus epidemics complications in scaling-up prevention and control strategies",Philos Ethics Humanit Med,PMC,2017-08-25,2017.0,210
Prognosis and treatment of FOLFOX therapy related interstitial pneumonia: a plea for multimodal immune modulating therapy in the respiratory insufficient patient,BMC Cancer,PMC,2017-08-29,2017.0,275
Enteric viruses in HIV-1 seropositive and HIV-1 seronegative children with diarrheal diseases in Brazil,PLoS One,PMC,2017-08-30,2017.0,313
First genome report and analysis of chicken H7N9 influenza viruses with poly-basic amino acids insertion in the hemagglutinin cleavage site,Sci Rep,PMC,2017-08-30,2017.0,149
Characterization of Monoclonal Antibodies against HA Protein of H1N1 Swine Influenza Virus and Protective Efficacy against H1 Viruses in Mice,Viruses,PMC,2017-08-08,2017.0,180
Specialty Grand Challenge In Pediatric Infectious Diseases,Front Pediatr,PMC,2017-08-28,2017.0,0
A novel quantitative PCR mediated by high-fidelity DNA polymerase,Sci Rep,PMC,2017-09-04,2017.0,199
Immunosuppression by viral N proteins,Oncotarget,PMC,2017-06-22,2017.0,0
A functional IFN-λ4-generating DNA polymorphism could protect older asthmatic women from aeroallergen sensitization and associate with clinical features of asthma,Sci Rep,PMC,2017-09-05,2017.0,195
Secretome of Intestinal Bacilli: A Natural Guard against Pathologies,Front Microbiol,PMC,2017-09-01,2017.0,191
Regional genetic diversity for NNV grouper viruses across the Indo-Asian region – implications for selecting virus resistance in farmed groupers,Sci Rep,PMC,2017-09-06,2017.0,200
The use of a P. falciparum specific coiled-coil domain to construct a self-assembling protein nanoparticle vaccine to prevent malaria,J Nanobiotechnology,PMC,2017-09-06,2017.0,300
The osteogenic cell surface marker BRIL/IFITM5 is dispensable for bone development and homeostasis in mice,PLoS One,PMC,2017-09-07,2017.0,307
The lifecycle of the Ebola virus in host cells,Oncotarget,PMC,2017-06-15,2017.0,110
Interleukin-22 level is negatively correlated with neutrophil recruitment in the lungs in a Pseudomonas aeruginosa pneumonia model,Sci Rep,PMC,2017-09-08,2017.0,160
Small molecular floribundiquinone B derived from medicinal plants inhibits acetylcholinesterase activity,Oncotarget,PMC,2017-07-11,2017.0,137
Lessons from a decade of individual-based models for infectious disease transmission: a systematic review (2006-2015),BMC Infect Dis,PMC,2017-09-11,2017.0,369
Analysis of VSV pseudotype virus infection mediated by rubella virus envelope proteins,Sci Rep,PMC,2017-09-14,2017.0,185
Local lung hypoxia determines epithelial fate decisions during alveolar regeneration,Nat Cell Biol,PMC,2017-07-24,2017.0,157
Model of the pathway of −1 frameshifting: Long pausing,Biochem Biophys Rep,PMC,2016-01-29,2016.0,178
Macrophage activation-like syndrome: an immunological entity associated with rapid progression to death in sepsis,BMC Med,PMC,2017-09-18,2017.0,275
"ESICM LIVES 2017: 30th ESICM Annual Congress. September 23-27, 2017",Intensive Care Med Exp,PMC,2017-09-20,2017.0,0
Vaccinomics Approach for Designing Potential Peptide Vaccine by Targeting Shigella spp. Serine Protease Autotransporter Subfamily Protein SigA,J Immunol Res,PMC,2017-09-07,2017.0,212
A potent human neutralizing antibody Fc-dependently reduces established HBV infections,Unknown,PMC,2017-09-26,2017.0,149
Detecting a Surprisingly Low Transmission Distance in the Early Phase of the 2009 Influenza Pandemic,Sci Rep,PMC,2017-09-26,2017.0,200
Viral inhibitions of PACT-induced RIG-I activation,Oncotarget,PMC,2017-07-03,2017.0,0
Advancing Point-of-Care (PoC) Testing Using Human Saliva as Liquid Biopsy,Diagnostics (Basel),PMC,2017-07-04,2017.0,130
PERK Signal-Modulated Protein Translation Promotes the Survivability of Dengue 2 Virus-Infected Mosquito Cells and Extends Viral Replication,Viruses,PMC,2017-09-20,2017.0,318
Dihydroberberine exhibits synergistic effects with sunitinib on NSCLC NCI‐H460 cells by repressing MAP kinase pathways and inflammatory mediators,J Cell Mol Med,PMC,2017-04-26,2017.0,202
Emerging and Re-emerging Infectious Diseases in South East Asia,Indian J Dermatol,PMC,,,0
The Central Conserved Region (CCR) of Respiratory Syncytial Virus (RSV) G Protein Modulates Host miRNA Expression and Alters the Cellular Response to Infection,Vaccines (Basel),PMC,2017-07-03,2017.0,178
"Diagnosis of Fatal Human Case of St. Louis Encephalitis Virus Infection by Metagenomic Sequencing, California, 2016",Emerg Infect Dis,PMC,2017-10-03,2017.0,44
Risk factors for multidrug-resistant pathogens in bronchiectasis exacerbations,BMC Infect Dis,PMC,2017-09-30,2017.0,228
"Flavonoid-Rich Extract of Paulownia fortunei Flowers Attenuates Diet-Induced Hyperlipidemia, Hepatic Steatosis and Insulin Resistance in Obesity Mice by AMPK Pathway",Nutrients,PMC,2017-08-30,2017.0,207
Identification of isoliquiritigenin as an activator that stimulates the enzymatic production of glycyrrhetinic acid monoglucuronide,Sci Rep,PMC,2017-10-02,2017.0,177
Commentary: Outbreak of Chikungunya in Pakistan,Front Public Health,PMC,2017-09-28,2017.0,0
Cholesterol and host cell surface proteins contribute to cell-cell fusion induced by the Burkholderia type VI secretion system 5,PLoS One,PMC,2017-10-03,2017.0,284
Interferon-λs: Front-Line Guardians of Immunity and Homeostasis in the Respiratory Tract,Front Immunol,PMC,2017-09-29,2017.0,204
An avian influenza H7 DNA priming vaccine is safe and immunogenic in a randomized phase I clinical trial,NPJ Vaccines,PMC,2017-06-01,2017.0,268
DMAb inoculation of synthetic cross reactive antibodies protects against lethal influenza A and B infections,NPJ Vaccines,PMC,2017-07-06,2017.0,204
Protein nanovaccine confers robust immunity against Toxoplasma,NPJ Vaccines,PMC,2017-09-05,2017.0,166
Effectiveness of a fluid chart in outpatient management of suspected dengue fever: A pilot study,PLoS One,PMC,2017-10-04,2017.0,382
HBV core protein allosteric modulators differentially alter cccDNA biosynthesis from de novo infection and intracellular amplification pathways,PLoS Pathog,PMC,2017-09-25,2017.0,222
The N-terminal domains of FLASH and Lsm11 form a 2:1 heterotrimer for histone pre-mRNA 3’-end processing,PLoS One,PMC,2017-10-11,2017.0,126
Correction to: Optimization and validation of sample preparation for metagenomic sequencing of viruses in clinical samples,Microbiome,PMC,2017-10-12,2017.0,0
Filter quality of electret masks in filtering 14.6–594 nm aerosol particles: Effects of five decontamination methods,PLoS One,PMC,2017-10-12,2017.0,303
Induction of PrP(Sc)-specific systemic and mucosal immune responses in white-tailed deer with an oral vaccine for chronic wasting disease,Prion,PMC,2017-10-02,2017.0,224
iLIR@viral: A web resource for LIR motif-containing proteins in viruses,Autophagy,PMC,2017-08-14,2017.0,168
Viscosity is an important factor of resistance to alcohol-based disinfectants by pathogens present in mucus,Sci Rep,PMC,2017-10-13,2017.0,188
Virus-induced double-membrane vesicles,Autophagy,PMC,2007-11-26,2007.0,136
Screening of FDA-Approved Drugs for Inhibitors of Japanese Encephalitis Virus Infection,J Virol,PMC,2017-10-13,2017.0,314
2L-PCA: a two-level principal component analyzer for quantitative drug design and its applications,Oncotarget,PMC,2017-08-01,2017.0,95
The Role of Na/K-ATPase Signaling in Oxidative Stress Related to Obesity and Cardiovascular Disease,Molecules,PMC,2016-09-03,2016.0,108
The Y chromosome: a blueprint for men’s health?,Eur J Hum Genet,PMC,2017-08-30,2017.0,221
Efficacy of Antiviral Drugs against Feline Immunodeficiency Virus,Vet Sci,PMC,2015-12-18,2015.0,184
ROCK regulates the intermittent mode of interstitial T cell migration in inflamed lungs,Nat Commun,PMC,2017-10-18,2017.0,150
Development and evaluation of a rapid molecular diagnostic test for Zika virus infection by reverse transcription loop-mediated isothermal amplification,Sci Rep,PMC,2017-10-18,2017.0,197
Exploring the psychological health of emergency dispatch centre operatives: a systematic review and narrative synthesis,PeerJ,PMC,2017-10-17,2017.0,257
Bid-deficient fish delay grass carp reovirus (GCRV) replication and attenuate GCRV-triggered apoptosis,Oncotarget,PMC,2017-07-22,2017.0,202
Targeting Hsp27/eIF4E interaction with phenazine compound: a promising alternative for castration-resistant prostate cancer treatment,Oncotarget,PMC,2017-08-24,2017.0,232
Assessment of immune organ dysfunction in critical illness: utility of innate immune response markers,Intensive Care Med Exp,PMC,2017-10-23,2017.0,255
"Kinetic Modelling of Infection Tracers [(18)F]FDG, [(68)Ga]Ga-Citrate, [(11)C]Methionine, and [(11)C]Donepezil in a Porcine Osteomyelitis Model",Contrast Media Mol Imaging,PMC,2017-10-09,2017.0,200
Hepatitis A Virus: Essential Knowledge and a Novel Identify-Isolate-Inform Tool for Frontline Healthcare Providers,West J Emerg Med,PMC,2017-10-18,2017.0,222
Leukemia/lymphoma‐related factor (LRF) exhibits stage‐ and context‐dependent transcriptional controls in the oligodendrocyte lineage and modulates remyelination,J Neurosci Res,PMC,2017-05-30,2017.0,258
Review article: the human intestinal virome in health and disease,Aliment Pharmacol Ther,PMC,2017-09-04,2017.0,250
"Notes from the Field: Severe Human Metapneumovirus Infections — North Dakota, 2016",MMWR Morb Mortal Wkly Rep,PMC,2017-05-12,2017.0,0
Adjuvants and the vaccine response to the DS-Cav1-stabilized fusion glycoprotein of respiratory syncytial virus,PLoS One,PMC,2017-10-26,2017.0,302
Chemical Synthesis of the Highly Hydrophobic Antiviral Membrane‐Associated Protein IFITM3 and Modified Variants,Angew Chem Int Ed Engl,PMC,2017-09-07,2017.0,138
Reference gene selection for gene expression study in shell gland and spleen of laying hens challenged with infectious bronchitis virus,Sci Rep,PMC,2017-10-27,2017.0,196
miPepBase: A Database of Experimentally Verified Peptides Involved in Molecular Mimicry,Front Microbiol,PMC,2017-10-23,2017.0,154
Mir-21 Mediates the Inhibitory Effect of Ang (1–7) on AngII-induced NLRP3 Inflammasome Activation by Targeting Spry1 in lung fibroblasts,Sci Rep,PMC,2017-10-30,2017.0,200
Decitabine-Induced Changes in Human Myelodysplastic Syndrome Cell Line SKM-1 Are Mediated by FOXO3A Activation,J Immunol Res,PMC,2017-10-16,2017.0,156
HLA-DMB restricts human T-cell leukemia virus type-1 (HTLV-1) protein expression via regulation of ATG7 acetylation,Sci Rep,PMC,2017-10-31,2017.0,197
Host Cell Vimentin Restrains Toxoplasma gondii Invasion and Phosphorylation of Vimentin is Partially Regulated by Interaction with TgROP18,Int J Biol Sci,PMC,2017-09-05,2017.0,209
Biomarkers for Chronic Kidney Disease Associated with High Salt Intake,Int J Mol Sci,PMC,2017-09-30,2017.0,224
Multiplexed Nucleic Acid Programmable Protein Arrays,Theranostics,PMC,2017-09-20,2017.0,192
An Unusual Cause of Fever in a Patient with Common Variable Immunodeficiency,"Annals of Allergy, Asthma & Immunology",PMC,2017-09-01,2017.0,0
Oral immunization of a non-recombinant Lactococcus lactis surface displaying influenza hemagglutinin 1 (HA1) induces mucosal immunity in mice,PLoS One,PMC,2017-11-06,2017.0,193
Treatment with proteasome inhibitor bortezomib decreases organic anion transporting polypeptide (OATP) 1B3-mediated transport in a substrate-dependent manner,PLoS One,PMC,2017-11-06,2017.0,299
VSIG4 inhibits proinflammatory macrophage activation by reprogramming mitochondrial pyruvate metabolism,Nat Commun,PMC,2017-11-06,2017.0,135
Venovenous extracorporeal membrane oxygenation devices-related colonisations and infections,Ann Intensive Care,PMC,2017-11-07,2017.0,274
Novel prostate cancer immunotherapy with a DNA-encoded anti-prostate-specific membrane antigen monoclonal antibody,Cancer Immunol Immunother,PMC,2017-08-17,2017.0,175
Increasing the CpG dinucleotide abundance in the HIV-1 genomic RNA inhibits viral replication,Retrovirology,PMC,2017-11-09,2017.0,313
Seasonal recurrence of cowpox virus outbreaks in captive cheetahs (Acinonyx jubatus),PLoS One,PMC,2017-11-09,2017.0,273
A mechanistic spatio-temporal framework for modelling individual-to-individual transmission—With an application to the 2014-2015 West Africa Ebola outbreak,PLoS Comput Biol,PMC,2017-10-30,2017.0,209
Multipartite viruses: adaptive trick or evolutionary treat?,NPJ Syst Biol Appl,PMC,2017-11-09,2017.0,224
Comparative Diagnostic Performance of the Granulocyte and Neutrophil Counts,Pract Lab Med,PMC,2017-10-04,2017.0,240
Cytokines Interleukin 4 (IL-4) and Interleukin 10 (IL-10) Gene Polymorphisms as Potential Host Susceptibility Factors in Virus-Induced Encephalitis,Med Sci Monit,PMC,2017-09-22,2017.0,265
"Knowledge, Attitudes, and Practices Regarding Zika: Paper- and Internet-Based Survey in Zhejiang, China",JMIR Public Health Surveill,PMC,2017-10-30,2017.0,447
"Laboratory-based respiratory virus surveillance pilot project on select cruise ships in Alaska, 2013–15()",Journal of Travel Medicine,PMC,2017-10-06,2017.0,302
"Status, quality and specific needs of Zika virus (ZIKV) diagnostic capacity and capability in National Reference Laboratories for arboviruses in 30 EU/EEA countries, May 2016",Euro Surveill,PMC,2017-09-07,2017.0,144
Telomere Dynamics in Immune Senescence and Exhaustion Triggered by Chronic Viral Infection,Viruses,PMC,2017-10-05,2017.0,220
Follow-up monitoring in a cat with leishmaniosis and coinfections with Hepatozoon felis and ‘Candidatus Mycoplasma haemominutum’,JFMS Open Rep,PMC,2017-11-14,2017.0,245
Emerging Infections and Pertinent Infections Related to Travel for Patients with Primary Immunodeficiencies,J Clin Immunol,PMC,2017-08-07,2017.0,202
Computational design of fully overlapping coding schemes for protein pairs and triplets,Sci Rep,PMC,2017-11-20,2017.0,197
ICU-treated influenza A(H1N1) pdm09 infections more severe post pandemic than during 2009 pandemic: a retrospective analysis,BMC Infect Dis,PMC,2017-11-21,2017.0,240
Quantification and phenotypic characterisation of peripheral IFN-γ producing leucocytes in chickens vaccinated against Newcastle disease,Vet Immunol Immunopathol,PMC,2017-12-03,2017.0,328
Spatiotemporal dynamics of HSV genome nuclear entry and compaction state transitions using bioorthogonal chemistry and super-resolution microscopy,PLoS Pathog,PMC,2017-11-09,2017.0,299
"Transcriptome analysis of the salivary glands of the grain aphid, Sitobion avenae",Sci Rep,PMC,2017-11-21,2017.0,195
Transcriptome analysis of avian reovirus-mediated changes in gene expression of normal chicken fibroblast DF-1 cells,BMC Genomics,PMC,2017-11-25,2017.0,220
Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs,J Biol Chem,PMC,2017-11-17,2017.0,251
Ebola Preparedness in the Netherlands: The Need for Coordination Between the Public Health and the Curative Sector,J Public Health Manag Pract,PMC,2017-11-22,2017.0,327
"Estimating the incubation period of hand, foot and mouth disease for children in different age groups",Sci Rep,PMC,2017-11-28,2017.0,196
Infection prevention and control in ultrasound - best practice recommendations from the European Society of Radiology Ultrasound Working Group,Insights Imaging,PMC,2017-11-27,2017.0,263
In vivo protection against ZIKV infection and pathogenesis through passive antibody transfer and active immunisation with a prMEnv DNA vaccine,NPJ Vaccines,PMC,2016-11-10,2016.0,248
"Lack of Secondary Transmission of Ebola Virus from Healthcare Worker to 238 Contacts, United Kingdom, December 2014",Emerg Infect Dis,PMC,2017-12-03,2017.0,54
Autophagy pathway induced by a plant virus facilitates viral spread and transmission by its insect vector,PLoS Pathog,PMC,2017-11-10,2017.0,225
Potential for broad-scale transmission of Ebola virus disease during the West Africa crisis: lessons for the Global Health security agenda,Infect Dis Poverty,PMC,2017-12-01,2017.0,368
Inhibition of Miro1 disturbs mitophagy and pancreatic β-cell function interfering insulin release via IRS-Akt-Foxo1 in diabetes,Oncotarget,PMC,2017-09-16,2017.0,236
Egr-1 regulates RTA transcription through a cooperative involvement of transcriptional regulators,Oncotarget,PMC,2017-09-05,2017.0,247
Section II: Poster Sessions,J Urban Health,PMC,2017-12-01,2017.0,0
Antigen-specific oncolytic MV-based tumor vaccines through presentation of selected tumor-associated antigens on infected cells or virus-like particles,Sci Rep,PMC,2017-12-04,2017.0,148
"Epidemiology of influenza in West Africa after the 2009 influenza A(H1N1) pandemic, 2010–2012",BMC Infect Dis,PMC,2017-12-04,2017.0,363
"Intention to vaccinate universally against varicella, rotavirus gastroenteritis, meningococcal B disease and seasonal influenza among parents in the Netherlands: an internet survey",BMC Res Notes,PMC,2017-12-04,2017.0,218
Association between nonspecific interstitial pneumonia and presence of CD20+ B lymphocytes within pulmonary lymphoid follicles,Sci Rep,PMC,2017-12-05,2017.0,201
From febrile pancytopenia to hemophagocytic lymphohistiocytosis-associated organ dysfunction,Intensive Care Med,PMC,2017-06-26,2017.0,0
"Bacteriological study of calf colisepticemia in Alage Dairy Farm, Southern Ethiopia",BMC Res Notes,PMC,2017-12-07,2017.0,210
"Complete Genome Sequence of a Divergent Human Rhinovirus C Isolate from an Infant with Severe Community-Acquired Pneumonia in Colorado, USA",Genome Announc,PMC,2017-11-30,2017.0,48
Long term outcomes in survivors of epidemic Influenza A (H7N9) virus infection,Sci Rep,PMC,2017-12-08,2017.0,198
"Rhinovirus Biology, Antigenic Diversity, and Advancements in the Design of a Human Rhinovirus Vaccine",Front Microbiol,PMC,2017-12-05,2017.0,151
Preclinical Development and Production of Virus-Like Particles As Vaccine Candidates for Hepatitis C,Front Microbiol,PMC,2017-12-05,2017.0,243
Role of Incretin Axis in Inflammatory Bowel Disease,Front Immunol,PMC,2017-12-06,2017.0,227
Multicentre randomised controlled trial to investigate the usefulness of continuous pneumatic regulation of tracheal cuff pressure for reducing ventilator-associated pneumonia in mechanically ventilated severe trauma patients: the AGATE study protocol,BMJ Open,PMC,2017-08-07,2017.0,302
Characterization of Variability in Toxicokinetics and Toxicodynamics of Tetrachloroethylene Using the Collaborative Cross Mouse Population,Environ Health Perspect,PMC,2017-05-30,2017.0,259
"Fitting dynamic models to epidemic outbreaks with quantified uncertainty: A primer for parameter uncertainty, identifiability, and forecasts",Infect Dis Model,PMC,2017-08-12,2017.0,153
Comparative epidemiology of poliovirus transmission,Sci Rep,PMC,2017-12-12,2017.0,206
Patterns of infectious complications in acute myeloid leukemia and myelodysplastic syndromes patients treated with 10‐day decitabine regimen,Cancer Med,PMC,2017-10-23,2017.0,200
One-plasmid double-expression His-tag system for rapid production and easy purification of MS2 phage-like particles,Sci Rep,PMC,2017-12-13,2017.0,185
Comparison of mortality prediction models in acute respiratory distress syndrome undergoing extracorporeal membrane oxygenation and development of a novel prediction score: the PREdiction of Survival on ECMO Therapy-Score (PRESET-Score),Crit Care,PMC,2017-12-12,2017.0,272
Clinical analysis of 23 cases of steroid-associated osteonecrosis of the femoral head with normal initial magnetic resonance imaging presentation,Medicine (Baltimore),PMC,2017-12-08,2017.0,184
Novel Identified HLA-A*0201-Restricted Hantaan Virus Glycoprotein Cytotoxic T-Cell Epitopes Could Effectively Induce Protective Responses in HLA-A2.1/K(b) Transgenic Mice May Associate with the Severity of Hemorrhagic Fever with Renal Syndrome,Front Immunol,PMC,2017-12-12,2017.0,273
Development of a Quantitative Loop-Mediated Isothermal Amplification Assay for the Rapid Detection of Novel Goose Parvovirus,Front Microbiol,PMC,2017-12-12,2017.0,203
Identifying volatile metabolite signatures for the diagnosis of bacterial respiratory tract infection using electronic nose technology: A pilot study,PLoS One,PMC,2017-12-18,2017.0,206
Downregulation of monocytic differentiation via modulation of CD147 by 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitors,PLoS One,PMC,2017-12-18,2017.0,209
Function of the Deubiquitinating Enzyme USP46 in the Nervous System and Its Regulation by WD40-Repeat Proteins,Front Synaptic Neurosci,PMC,2017-12-14,2017.0,148
Development of global health research in China,Unknown,PMC,2017-11-23,2017.0,0
Evidence of translation efficiency adaptation of the coding regions of the bacteriophage lambda,DNA Res,PMC,2017-02-28,2017.0,201
Possible therapeutic effect of orally administered ribavirin for respiratory syncytial virus-induced acute respiratory distress syndrome in an immunocompetent patient: a case report,J Med Case Rep,PMC,2017-12-20,2017.0,175
Recombinant influenza H9N2 virus with a substitution of H3 hemagglutinin transmembrane domain showed enhanced immunogenicity in mice and chicken,Sci Rep,PMC,2017-12-20,2017.0,101
Tidal changes on CT and progression of ARDS,Thorax,PMC,2017-06-20,2017.0,235
Combination treatment with quercetin and resveratrol attenuates high fat diet-induced obesity and associated inflammation in rats via the AMPKα1/SIRT1 signaling pathway,Exp Ther Med,PMC,2017-10-18,2017.0,241
Port d’Entrée for Respiratory Infections – Does the Influenza A Virus Pave the Way for Bacteria?,Front Microbiol,PMC,2017-12-21,2017.0,189
Quantitative Analysis of Cellular Proteome Alterations in CDV-Infected Mink Lung Epithelial Cells,Front Microbiol,PMC,2017-12-22,2017.0,182
"Award Winners and Abstracts of the 31st Annual Symposium of The Protein Society, Montreal, Canada, July 24–27, 2017",Protein Science,PMC,2017-12-01,2017.0,0
Subcellular Trafficking of the Papillomavirus Genome during Initial Infection: The Remarkable Abilities of Minor Capsid Protein L2,Viruses,PMC,2017-12-03,2017.0,115
Infections on the move: how transient phases of host movement influence disease spread,Proc Biol Sci,PMC,2017-12-20,2017.0,178
Case report: atypical presentation of vancomycin induced DRESS syndrome: a case report and review of the literature,BMC Pulm Med,PMC,2017-12-28,2017.0,222
"A diagnostic and epidemiologic investigation of acute febrile illness (AFI) in Kilombero, Tanzania",PLoS One,PMC,2017-12-29,2017.0,445
Back to the future in a petri dish: Origin and impact of resurrected microbes in natural populations,Evol Appl,PMC,2017-10-17,2017.0,287
Detection of Nuclear Protein Profile Changes by Human Metapneumovirus M2-2 Protein Using Quantitative Differential Proteomics,Vaccines (Basel),PMC,2017-12-03,2017.0,177
Chasing viruses feverishly,J Family Med Prim Care,PMC,,,139
"Cage size, movement in and out of housing during daily care, and other environmental and population health risk factors for feline upper respiratory disease in nine North American animal shelters",PLoS One,PMC,2018-01-02,2018.0,104
Probing the antigenicity of hepatitis C virus envelope glycoprotein complex by high-throughput mutagenesis,PLoS Pathog,PMC,2017-12-18,2017.0,281
Ecological and evolutionary approaches to managing honeybee disease,Nat Ecol Evol,PMC,2017-08-22,2017.0,134
